# ERC-7730 descriptor catalogue
# Generated by `cargo run -p dbgen`. DO NOT EDIT BY HAND.
#
# Each row is one entry in the firmware-pinned Merkle tree at
# ERC7730_DESCRIPTORS_ROOT. Auditors should reconcile every row
# against the source JSON and the upstream attestation chain.
# Root: 0x42a086e53bf86471a77d21f6b8c80ccb9e82ac9fd3c4ec60cd24bd9b3e9dfe76
# Policy: min_attesters=2 allow_unattested_dev_descriptors=true
# Trusted attesters (3):
#   - eip155:1:0x0000000000000000000000000000000000000001
#   - eip155:1:0x0000000000000000000000000000000000000002
#   - eip155:1:0x0000000000000000000000000000000000000003
#
# WARNING: dev mode is on — attestations were NOT enforced.
# CI MUST reject production builds in this mode.

[0021] ctx=contract chain_id=1 contract=0x11dbf3cd45d339ed8971623be739883debdf239a primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0x0a106eb36b55eea89923d0c4679fc7aedd647836322ef3ad1164bb1cdc4b4298 erc8176_hash=0xd5c9c6b39fe1c29507a1fd3f1bdc8a2e5fce8c5b1c880795918824bd3cdaea8e ir_len=457 source=calldata-Vault-USDT-Morpho-Gauntlet-USDT-Core-multisig.json
[0022] ctx=contract chain_id=1 contract=0x125d41a6e5dbf455cd9df8f80bcc6fd172d52cc6 primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0xbc4d989763e062611271f1ad91e5719a72a808191b797bb5bf449b4c2f27f4ab erc8176_hash=0xf6a528d80e49ee8327a07a6aca689f6afc9bca6d46d11177363fe1f460a79371 ir_len=459 source=calldata-gauntlet-gtUSDAcore.json
[0023] ctx=contract chain_id=1 contract=0x1265a81d42d513df40d0031f8f2e1346954d665a primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0x177239a6090e37e9006a60f23cf45a89e2297808694aa7ce22f582973dd1ec7d erc8176_hash=0xbd64e1f18c12d228984d33c431361df6690569bb1112304637f54dde9ae8bf9f ir_len=457 source=calldata-mev_capital-MC.eUSDC.json
[0024] ctx=contract chain_id=1 contract=0x132e6c9c33a62d7727cd359b1f51e5b566e485eb primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0x1f45df8d1dc50dafb16ccd06c63e229772b7f1c9a655df088e6d642e7949340f erc8176_hash=0xa6f5c8016386c2626362d527604b192b777779a565fe15d9d104271cc781b840 ir_len=459 source=calldata-gauntlet-resolvUSDC.json
[0025] ctx=contract chain_id=1 contract=0x15c2b3adca66e26b6f230b4023f52a285b7f9995 primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0x44c932ef8c958c16d01d624454b9311dc04a60dc1df5e4e9e81297f4da996ffb erc8176_hash=0xe254cccede09a71d56a4834882e97a499ab82122900507e10d43c2d3d974fe34 ir_len=367 source=calldata-yieldxyz-pol-validator.json
[0026] ctx=contract chain_id=1 contract=0x15f724b35a75f0c28f352b952ea9d1b24e348c57 primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0x742299a01869cb0495022286f47c169d26cf3cbc6dd860ed914599d18ddfec5f erc8176_hash=0x4bce13aaa2cf54ed934696a3645339bc56acc521d4bad9f5d127eaf3ad09b65b ir_len=568 source=calldata-RedemptionVault.json
[0027] ctx=contract chain_id=1 contract=0x164645fbc7220a3b4f8f5c6b473bcf1b6db146dd primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0xab8fcd10b7d2afc1ee119a0a032939fec9cf714d77d2bcfa9709394722eb9c2b erc8176_hash=0x51c94055b1730602f37218106bea6c7d42914f6e6259adcbebfb5e5c7ae0a99d ir_len=535 source=calldata-MinterVault.json
[0028] ctx=contract chain_id=1 contract=0x16d4f955b0aa1b1570fe3e9bb2f8c19c407cdb67 primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0x742299a01869cb0495022286f47c169d26cf3cbc6dd860ed914599d18ddfec5f erc8176_hash=0x4bce13aaa2cf54ed934696a3645339bc56acc521d4bad9f5d127eaf3ad09b65b ir_len=568 source=calldata-RedemptionVault.json
[0029] ctx=contract chain_id=1 contract=0x18084fba666a33d37592fa2633fd49a74dd93a88 primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0x8d0f6d58bcca4b2745bc300087e5318bb9e60d7fb041192a7329276a733d14a3 erc8176_hash=0x29f1f0227ff2a369756a292ebc9a304306d8350c7f52aab78b7073ac158776f1 ir_len=241 source=calldata-TBTC.json
[0030] ctx=contract chain_id=1 contract=0x186514400e52270cef3d80e1c6f8d10a75d47344 primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0xc6deee0dca44cab3571cad56c24aa2389e1792d894782e5bb3ef46b566246dfb erc8176_hash=0x587e796d04009a01eab3f6a4ceca2b3c2516e100582e745f2113a95afe9af951 ir_len=455 source=calldata-block_analitica-bbUSDC.json
