# ERC-20 impersonator denylist — (chain_id, address) pairs excluded from the token db.
# Generated by tools/scan_erc20_impersonators.py (offline symbol-collision scan).
# Each token wears a curated ticker at a non-canonical address vouched only by a
# low-trust source (overwhelmingly Li.Fi). Consumed by tools/build_erc20_db.py.
# Format: <chain_id> <address>  # <severity> <symbol> impersonates <real_symbol>
1 0x364248b2f1f57C5402d244b2D469A35B4C0e9dAB  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x36e2FCCCc59e5747Ff63a03ea2e5C0c2C14911e7  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x37E8789bB9996CaC9156cD5F5Fd32599E6b91289  # MEDIUM AID impersonates AID (real 0x18F52B3fb465118731d9e0d276d4Eb3599D57596)
1 0x382c4a5147Fd4090F7BE3A9Ff398F95638F5D39E  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x397FF1542f962076d0BFE58eA045FfA2d347ACa0  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x3CD1833Ce959E087D0eF0Cb45ed06BffE60F23Ba  # MEDIUM CORN impersonates CORN (real 0x44f49ff0da2498bCb1D3Dc7C0f999578F67FD8C6)
1 0x3D5C27CcE82C65eFeF4E5003b8c2b42040fD9316  # MEDIUM CTA impersonates CTA (real 0x90685e300A4c4532EFCeFE91202DfE1Dfd572F47)
1 0x3d5F61a4BB385B6D1eB34F47aA790A996f1Eba65  # MEDIUM MYST impersonates MYST (real 0x4Cf89ca06ad997bC732Dc876ed2A7F26a9E7f361)
1 0x3DB6Ba6ab6F95efed1a6E794caD492fAAabF294D  # MEDIUM LTO impersonates LTO (real 0xd01409314aCb3b245CEa9500eCE3F6Fd4d70ea30)
1 0x3FA729B4548beCBAd4EaB6EF18413470e6D5324C  # MEDIUM MOVE impersonates MOVE (real 0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073)
1 0x41328fdBA556c8C969418ccCcB077B7B8D932aA5  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x418C24191aE947A78C99fDc0e45a1f96Afb254BE  # MEDIUM UERII impersonates UERII (real 0xc1ABb8c93be6811aFfC70675b0432926c4BFBb5D)
1 0x420412E765BFa6d85aaaC94b4f7b708C89be2e2B  # MEDIUM BRZ impersonates BRZ (real 0x01d33FD36ec67c6Ada32cf36b31e88EE190B1839)
1 0x442B153F6F61C0c99A33Aa4170DCb31e1ABDa1D0  # MEDIUM AVA impersonates AVA (real 0xa6C0c097741D55ECd9a3A7DeF3A8253fD022ceB9)
1 0x456125Cd98107ae0480Ba566f1b716D48Ba31453  # MEDIUM CHAMP impersonates CHAMP (real 0x4aF1Bc87e43dDb22188bb3791ae00341586fE8fc)
